iter	MultiClass
0	2.203028676
1	2.092467459
2	2.026423306
3	1.946686937
4	1.876413652
5	1.802580278
6	1.723187362
7	1.660526987
8	1.610670375
9	1.575499485
10	1.536053234
11	1.503663524
12	1.460243283
13	1.418530318
14	1.389554808
15	1.348426812
16	1.30623488
17	1.274516777
18	1.251561534
19	1.231955063
20	1.20168998
21	1.170723751
22	1.149492464
23	1.12836909
24	1.103306258
25	1.084349883
26	1.068934535
27	1.049476001
28	1.034609661
29	1.021131062
30	0.9985796141
31	0.979771077
32	0.9714517231
33	0.9473519027
34	0.924416547
35	0.9039341477
36	0.8941360727
37	0.883389218
38	0.8708466995
39	0.8657234779
40	0.8459777369
41	0.8330130216
42	0.8211408648
43	0.8082868812
44	0.7950082603
45	0.787646543
46	0.7779654717
47	0.766646241
48	0.762536111
49	0.7549608621
50	0.7488551037
51	0.7421360295
52	0.7334769704
53	0.7292342532
54	0.722518145
55	0.7138628422
56	0.7071682985
57	0.701050586
58	0.6911623974
59	0.6845641385
60	0.6810285952
61	0.6753030088
62	0.672072964
63	0.6664662373
64	0.6606952551
65	0.654246413
66	0.6501465907
67	0.6414747109
68	0.6366146789
69	0.6288967067
70	0.6200722831
71	0.614548602
72	0.6025754719
73	0.5957666108
74	0.5858920486
75	0.5842560079
76	0.581721958
77	0.5775507735
78	0.574682219
79	0.5712255735
80	0.5668857946
81	0.559782809
82	0.559579649
83	0.5559198129
84	0.5525709349
85	0.5486590659
86	0.5433757205
87	0.5368539055
88	0.5338956764
89	0.5289926015
90	0.5265033447
91	0.5239973976
92	0.5221058883
93	0.5175869754
94	0.5137722519
95	0.5098729129
96	0.5089527979
97	0.5067040691
98	0.5060691439
99	0.5031793989
