iter	Passed	Remaining
0	202	20004
1	244	11982
2	286	9279
3	341	8193
4	387	7368
5	447	7016
6	502	6676
7	563	6481
8	618	6248
9	662	5964
10	704	5697
11	746	5470
12	783	5245
13	821	5045
14	863	4893
15	920	4830
16	964	4710
17	1008	4593
18	1047	4466
19	1086	4344
20	1132	4259
21	1176	4170
22	1217	4074
23	1261	3995
24	1313	3941
25	1364	3883
26	1413	3822
27	1465	3767
28	1505	3685
29	1549	3615
30	1601	3564
31	1650	3508
32	1729	3510
33	1780	3455
34	1856	3447
35	1932	3435
36	1996	3400
37	2062	3365
38	2125	3323
39	2174	3262
40	2222	3197
41	2272	3137
42	2315	3069
43	2374	3021
44	2455	3000
45	2526	2965
46	2621	2956
47	2711	2937
48	2759	2871
49	2806	2806
50	2844	2733
51	2886	2664
52	2928	2597
53	2972	2531
54	3015	2466
55	3062	2406
56	3123	2356
57	3173	2298
58	3244	2254
59	3308	2205
60	3388	2166
61	3456	2118
62	3516	2065
63	3564	2004
64	3620	1949
65	3693	1902
66	3751	1847
67	3803	1789
68	3849	1729
69	3907	1674
70	3972	1622
71	4034	1569
72	4093	1513
73	4171	1465
74	4220	1406
75	4268	1348
76	4348	1299
77	4405	1242
78	4489	1193
79	4564	1141
80	4639	1088
81	4693	1030
82	4744	971
83	4812	916
84	4928	869
85	5013	816
86	5078	758
87	5137	700
88	5197	642
89	5432	603
90	5511	545
91	5550	482
92	5590	420
93	5628	359
94	5667	298
95	5711	237
96	5751	177
97	5802	118
98	5860	59
99	5909	0
