iter	RMSE
0	694.9676742
1	656.3747656
2	626.172484
3	596.6468812
4	569.8082946
5	543.5997111
6	521.4991733
7	500.5320432
8	480.7696933
9	465.6422667
10	450.1286388
11	435.0124393
12	423.116305
13	410.2664623
14	399.8120959
15	390.385881
16	382.948518
17	375.176346
18	366.0471582
19	359.8953334
20	354.7179098
21	348.4249902
22	342.6871424
23	337.1684116
24	334.2645037
25	329.7104791
26	325.3761253
27	321.1298565
28	316.7652647
29	312.5765919
30	308.3764115
31	305.3409523
32	301.7302032
33	298.8619859
34	296.4697344
35	294.2662572
36	290.7943756
37	288.9548852
38	286.658562
39	284.947397
40	282.9401998
41	281.1958346
42	278.6548068
43	276.5051618
44	274.5461473
45	272.7212885
46	270.301547
47	268.9339703
48	267.8474006
49	266.4421022
50	264.5583257
51	262.5656118
52	260.496415
53	258.9847568
54	257.5813483
55	253.6873109
56	252.8840751
57	251.7074515
58	250.2013912
59	248.9956708
60	245.9156713
61	243.9115817
62	241.9981974
63	240.9505501
64	238.437624
65	237.2583029
66	235.9329476
67	234.5651909
68	233.321824
69	232.0506432
70	230.7805633
71	229.688618
72	228.4858682
73	227.2899708
74	226.3265149
75	224.8972388
76	223.3591717
77	222.15531
78	220.8856911
79	219.6009639
80	218.7738022
81	218.0019909
82	217.1152416
83	215.4626677
84	214.6586233
85	212.9661017
86	211.8710374
87	211.1798413
88	210.1843263
89	208.853599
90	207.8521097
91	206.9548726
92	206.2560494
93	205.6721636
94	204.5162422
95	203.9786442
96	202.634727
97	201.7659327
98	201.2089388
99	200.6861549
100	199.6894605
101	198.5081034
102	197.0977131
103	195.7127811
104	194.7926016
105	193.8801553
106	193.3801737
107	192.899299
108	192.1547495
109	191.6052354
110	189.8785112
111	189.4908564
112	188.6712795
113	188.2228151
114	186.8323355
115	185.8766668
116	185.2263076
117	184.0730872
118	182.9579257
119	182.5163335
120	181.6173219
121	180.6782919
122	180.0240816
123	179.0153779
124	177.4037346
125	176.4259779
126	174.3879994
127	173.9557749
128	173.5696612
129	172.4637875
130	171.4398048
131	170.763774
132	170.1837442
133	169.7963721
134	168.8687457
135	168.4985664
136	167.5295396
137	166.7873539
138	165.9673953
139	165.4269576
140	164.7886779
141	164.3805234
142	164.0095474
143	163.6790683
144	162.6187613
145	161.9550171
146	161.2605175
147	160.7766725
148	160.4532482
149	159.8738521
150	159.4332875
151	158.3075897
152	157.6102025
153	157.1413394
154	156.8026715
155	156.3861587
156	156.0581163
157	155.6700171
158	154.9758
159	154.6959565
160	154.3773878
161	153.5853629
162	153.1038585
163	152.7900782
164	152.5057436
165	151.9143343
166	151.6358521
167	151.2477362
168	150.3421967
169	150.0469601
170	149.7848987
171	148.9161516
172	148.6380195
173	148.3705486
174	147.9582083
175	147.6907163
176	147.478846
177	147.2057334
178	146.7198299
179	146.4860793
180	146.0987982
181	145.8586679
182	145.3602193
183	144.7740541
184	144.2022265
185	143.7804927
186	143.4894271
187	142.684966
188	142.4325699
189	141.9205147
190	141.2850836
191	141.071169
192	140.8231023
193	140.4519993
194	140.0545085
195	139.7343917
196	139.5044127
197	139.262595
198	138.9837818
199	137.9281767
200	137.4511639
201	137.2250246
202	136.6498048
203	136.4150188
204	135.3259754
205	134.7997734
206	134.5058064
207	134.2208966
208	134.0139814
209	133.8064821
210	133.2153304
211	132.8465671
212	132.6459276
213	132.4560158
214	132.1661405
215	131.9974184
216	131.5620967
217	131.0062366
218	130.7020482
219	130.5079291
220	129.7603811
221	129.3035457
222	129.097542
223	128.9118011
224	128.4754447
225	127.8865409
226	127.691839
227	127.5360847
228	127.3146683
229	126.9753101
230	126.1510402
231	125.9690787
232	125.3595721
233	125.1764985
234	124.775721
235	124.6101217
236	124.4569849
237	124.2590157
238	124.1115289
239	123.7303923
240	123.2341346
241	122.9604944
242	122.1306567
243	121.9409802
244	121.5837113
245	121.14817
246	120.6193189
247	120.4574705
248	120.3071002
249	120.140585
250	119.9433567
251	119.7075735
252	119.5316451
253	118.925145
254	118.5257843
255	118.3694283
256	118.0575935
257	117.88566
258	117.6986749
259	117.381289
260	116.8526335
261	116.7029729
262	116.3097372
263	116.1423234
264	115.8326859
265	115.6701797
266	115.4664841
267	114.9236853
268	114.7521172
269	114.4225878
270	113.8452775
271	113.6805767
272	113.546919
273	113.4033112
274	113.2270329
275	113.0956717
276	112.8842748
277	112.3386423
278	112.2006451
279	111.416191
280	111.0539624
281	110.5909245
282	110.4476335
283	110.2956211
284	110.0858268
285	109.9374584
286	109.7042512
287	109.5710548
288	109.4391472
289	108.952582
290	108.8018164
291	108.6583554
292	108.5329347
293	107.9212508
294	107.5297317
295	106.940706
296	106.7786058
297	106.3002774
298	105.7463606
299	105.603406
300	105.5073221
301	104.6274939
302	104.4612807
303	104.1418933
304	103.8628784
305	103.6058111
306	103.4703118
307	103.3483959
308	103.1204368
309	103.0150133
310	102.8576566
311	102.7239033
312	102.5908578
313	101.9520288
314	101.8200833
315	101.7088607
316	101.5807106
317	101.055255
318	100.6219885
319	100.5141141
320	99.96929107
321	99.65037577
322	99.52134168
323	99.12827743
324	98.94866629
325	98.80842088
326	98.68219292
327	98.53438919
328	98.40645107
329	98.28203337
330	97.56042089
331	97.44499114
332	97.19054439
333	96.80745221
334	96.63990732
335	96.51744565
336	96.3778502
337	95.91986605
338	95.7945271
339	95.67422128
340	95.57076564
341	95.44456664
342	95.32743443
343	95.20840367
344	95.09191753
345	94.89720778
346	94.70040729
347	94.59019843
348	94.47406123
349	94.36068237
350	94.27355638
351	93.9589305
352	93.58887807
353	93.47366588
354	93.12854741
355	93.03774589
356	92.70040869
357	92.59995085
358	92.43162954
359	92.33625213
360	92.23707667
361	91.97464551
362	91.57139973
363	91.46046909
364	91.32577184
365	91.22326022
366	90.89459194
367	90.79016651
368	90.70624883
369	90.58523811
370	90.48891385
371	90.38448457
372	90.27953131
373	89.97469383
374	89.6549614
375	89.55872568
376	89.20126915
377	89.1045664
378	89.00296469
379	88.88867191
380	88.56815336
381	88.29408764
382	88.19774167
383	88.10936005
384	87.97536582
385	87.8756669
386	87.68320207
387	87.35981296
388	87.20467416
389	87.10497797
390	87.01221404
391	86.71477782
392	86.63132902
393	86.53374129
394	86.44146841
395	86.03172634
396	85.92813392
397	85.83223096
398	85.75811924
399	85.42805529
400	85.3462522
401	85.07701446
402	84.98169458
403	84.89740218
404	84.76151727
405	84.67678007
406	84.48077505
407	84.40125499
408	84.05063993
409	83.82675156
410	83.74469001
411	83.56559406
412	83.48250906
413	83.27525405
414	83.19532777
415	82.95076362
416	82.8738348
417	82.59542336
418	82.46393175
419	82.38649963
420	82.31621522
421	82.22863694
422	81.9723699
423	81.83180619
424	81.43461692
425	81.23728134
426	81.1549416
427	80.9553585
428	80.86468028
429	80.72445411
430	80.63230429
431	80.55362507
432	80.47100524
433	80.39300646
434	80.31316629
435	80.22951034
436	80.15124575
437	79.90126644
438	79.79076788
439	79.72030392
440	79.64261358
441	79.5804632
442	79.51719392
443	79.44337723
444	79.33208881
445	79.1394205
446	79.05776157
447	78.97323364
448	78.89741316
449	78.82162409
450	78.7410183
451	78.64419037
452	78.56685925
453	78.49841818
454	78.42481322
455	78.06567561
456	77.94814631
457	77.88151604
458	77.80400633
459	77.7374757
460	77.40713231
461	77.3357932
